نام ژنریک	کد ژنریک
PRIMIDONE SUSPENSION ORAL 125 mg/5mL 250 mL	1650
PROPOFOL INJECTION, EMULSION PARENTERAL 10 mg/1mL 20 mL	1653
PROTAMINE SULFATE INJECTION PARENTERAL 10 mg/1mL 5 mL	1655
PENICILLAMINE CAPSULE ORAL 250 mg	1714
DOCETAXEL INJECTION, POWDER, FOR SOLUTION INTRAVENOUS 20 mg	1716
MESALAZINE TABLET, DELAYED RELEASE ORAL 250 mg	1728
URSODEOXYCHOLIC ACID CAPSULE ORAL 250 mg	1736
MYCOPHENOLATE MOFETIL TABLET ORAL 500 mg	1753
MYCOPHENOLATE MOFETIL CAPSULE ORAL 250 mg	1755
CICLOSPORIN CAPSULE, LIQUID FILLED ORAL 50 mg	1758
IMMUNE GLOBULIN INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION INTRAVENOUS 6 g	879
ZIDOVUDINE TABLET ORAL 300 mg	1775
PROPAFENONE HYDROCHLORIDE TABLET ORAL 150 mg	1777
PROPAFENONE HYDROCHLORIDE TABLET ORAL 300 mg	1778
NITROGLYCERIN INJECTION PARENTERAL 1 mg/1mL 5 mL	1812
LAMIVUDINE TABLET ORAL 100 mg	1815
LAMIVUDINE TABLET ORAL 150 mg	1819
NELFINAVIR TABLET ORAL 250 mg	1835
ADENOSINE INJECTION PARENTERAL 3 mg/1mL 2 mL	1836
POVIDONE IODINE DOUCHE VAGINAL 10 % 250 mL	1843
IMIPENEM / CILASTATIN INJECTION, POWDER, FOR SOLUTION PARENTERAL 500 mg/500 mg	1876
MILRINONE (AS LACTATE) INJECTION, SOLUTION PARENTERAL 1 mg/1mL 10 mL	1877
RIBAVIRIN CAPSULE ORAL 200 mg	1891
PAMIDRONATE DISODIUM INJECTION PARENTERAL 15 mg/1mL	51846
PAMIDRONATE DISODIUM INJECTION, SOLUTION, CONCENTRATE PARENTERAL 9 mg/1mL 10 mL	1899
BUPROPION HYDROCHLORIDE TABLET ORAL 100 mg	1909
OXALIPLATIN INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 50 mg	1915
OXALIPLATIN INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 100 mg	1916
HYDROXYPROGESTERONE CAPROATE INJECTION PARENTERAL 250 mg/1mL 1 mL	1917
RILUZOLE TABLET ORAL 50 mg	1921
LETROZOLE TABLET ORAL 2.5 mg	1922
BRINZOLAMIDE SUSPENSION, DROPS OPHTHALMIC 1 % 5 mL	1930
ISOFLURANE INHALANT RESPIRATORY 100 % 100 mL	1943
DEFEROXAMINE MESYLATE INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 2 g	1956
TRAMADOL HYDROCHLORIDE CAPSULE ORAL 50 mg	1982
BUPRENORPHINE (AS HYDROCHLORIDE) TABLET SUBLINGUAL 0.4 mg	1983
FENTANYL PATCH TRANSDERMAL 50 ug/1h	1988
BUPROPION HYDROCHLORIDE TABLET, EXTENDED RELEASE ORAL 150 mg	2033
FLUOXETINE (AS HYDROCHLORIDE) SYRUP ORAL 4 mg/1mL 60 mL	2051
FLUTICASONE PROPIONATE INHALANT RESPIRATORY 50 ug/1{dose} 120 {Puff}	2053
PIPERACILLIN (AS SODIUM) / TAZOBACTAM (AS SODIUM) INJECTION, POWDER, FOR SOLUTION PARENTERAL 2 g/0.25 g	2081
TACROLIMUS CAPSULE ORAL 1 mg	2083
TACROLIMUS CAPSULE ORAL 5 mg	2084
TACROLIMUS INJECTION, SOLUTION, CONCENTRATE PARENTERAL 5 mg/1mL	2087
TRAMADOL HYDROCHLORIDE TABLET ORAL 50 mg	2102
TRAMADOL HYDROCHLORIDE TABLET ORAL 100 mg	2103
DEXTROSE / SODIUM CHLORIDE INJECTION, SOLUTION INTRAVENOUS 5 %/0.45 % 500 mL	2125
GEMCITABINE (AS HYDROCHLORIDE) INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 1 g	2135
GEMCITABINE (AS HYDROCHLORIDE) INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 200 mg	2136
IFOSFAMIDE INJECTION, POWDER, FOR SOLUTION PARENTERAL 2 g	2138
IODIXANOL INJECTION PARENTERAL 150 mg/1mL 20 mL	2140
IODIXANOL INJECTION PARENTERAL 270 mg/1mL 20 mL	2141
IOPROMIDE INJECTION PARENTERAL 370 mg/1mL 100 mL	2147
LIPID INFUSION 20% (2) INJECTION, SOLUTION INTRAVENOUS 5 %/6 %/6 %/3 % 250 mL	2149
MELPHALAN (AS HYDROCHLORIDE) INJECTION, POWDER, FOR SOLUTION PARENTERAL 50 mg	2153
METHOTREXATE SODIUM INJECTION PARENTERAL 25 mg/1mL 2 mL	2158
REMIFENTANIL (AS HYDROCHLORIDE) INJECTION, POWDER, FOR SOLUTION PARENTERAL 1 mg	2182
REMIFENTANIL (AS HYDROCHLORIDE) INJECTION, POWDER, FOR SOLUTION PARENTERAL 2 mg	2183
REMIFENTANIL (AS HYDROCHLORIDE) INJECTION, POWDER, FOR SOLUTION PARENTERAL 5 mg	2184
TRAMADOL HYDROCHLORIDE TABLET, EXTENDED RELEASE ORAL 100 mg	2190
VINCRISTINE SULFATE INJECTION PARENTERAL 1 mg/1mL 1 mL	2194
DIAZEPAM ENEMA RECTAL 10 mg	2237
GADODIAMIDE INJECTION PARENTERAL 287 mg/1mL 15 mL	2241
MESALAZINE SUPPOSITORY RECTAL 500 mg	2246
DIAZEPAM ENEMA RECTAL 5 mg	2247
