نام ژنریک	کد ژنریک
AFLIBERCEPT INJECTION PARENTERAL 40 mg/1mL 0.1 mL	22646
AMPHOTERICIN B NANOLIPOSOMAL GEL TOPICAL 0.4 % 15 g	22891
ANTISCORPION VENOM SERUM INJECTION PARENTERAL  5 mL	1392
ANTISNAKE VENOM SERUM, PENTAVALENT INJECTION PARENTERAL  10 mL	1393
APOMORPHINE HYDROCHLORIDE INJECTION PARENTERAL 10 mg/1mL 3 mL	101
AMINO ACID / LIPID / GLUCOSE (1-1) INJECTION, EMULSION INTRAVENOUS 32 g/8 g/6.41 g/4.34 g/1.28 g/2.21 g/3.07 g/2.64 g/2.21 g/3.07 g/3.48 g/2.21 g/3.07 g/2.64 g/1.75 g/2.21 g/0.74 g/0.11 g/2.83 g/1.5 g/3.67 g/2.24 g/0.81 g/0.52 g/140 g/1000 mL 1250 mL	19580
AMINO ACID / LIPID / GLUCOSE (1-1) INJECTION, EMULSION INTRAVENOUS 32 g/8 g/6.41 g/4.34 g/1.28 g/2.21 g/3.07 g/2.64 g/2.21 g/3.07 g/3.48 g/2.21 g/3.07 g/2.64 g/1.75 g/2.21 g/0.74 g/0.11 g/2.83 g/1.5 g/3.67 g/2.24 g/0.81 g/0.52 g/140 g/1000 mL 1875 mL	19612
DOXORUBICIN HYDROCHLORIDE (PEGYLATED) INJECTABLE, LIPOSOMAL PARENTERAL 2 mg/1mL 10 mL	50610
ARTEMETHER INJECTION PARENTERAL 80 mg	5544
ARTEMETHER CAPSULE ORAL 40 mg	50614
ARTESUNATE SUPPOSITORY RECTAL 50 mg	50615
ARTESUNATE INJECTION PARENTERAL 200 mg	50616
ARTESUNATE TABLET ORAL 100 mg	50617
TEMOZOLOMIDE INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION INTRAVENOUS 100 mg	50624
BOTULISM ANTITOXIN MONOVALENT TYPE A (EQUINE) INJECTION PARENTERAL 5000 [iU]/1mL 10 mL	50627
BUDESONIDE POWDER, METERED RESPIRATORY 400 ug/1{dose} 100 {dose}	13080
PETHIDINE HYDROCHLORIDE INJECTION PARENTERAL 50 mg/1mL 2 mL	1355
SUFENTANIL (AS CITRATE) INJECTION PARENTERAL 5 ug/1mL 5 mL	10216
SUFENTANIL (AS CITRATE) INJECTION PARENTERAL 5 ug/1mL 10 mL	1366
BOTULINUM A TOXIN INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 500 [iU]	3623
VINORELBINE (AS TARTRATE) INJECTION, SOLUTION, CONCENTRATE PARENTERAL 10 mg/1mL 1 mL	5005
FACTOR XIII INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 250 [iU]	14664
CARBOPLATIN INJECTION, SOLUTION, CONCENTRATE INTRAVENOUS 10 mg/1mL 15 mL	214
CARBOPLATIN INJECTION, SOLUTION, CONCENTRATE INTRAVENOUS 10 mg/1mL 5 mL	215
METHYLPHENIDATE HYDROCHLORIDE TABLET, EXTENDED RELEASE ORAL 18 mg	50684
METHYLPHENIDATE HYDROCHLORIDE TABLET, EXTENDED RELEASE ORAL 36 mg	50685
METHYLPHENIDATE HYDROCHLORIDE TABLET, EXTENDED RELEASE ORAL 54 mg	50686
NOREPINEPHRINE (AS BITARTRATE) INJECTION, SOLUTION, CONCENTRATE PARENTERAL 1 mg/1mL 10 mL	1620
VARICELLA VIRUS VACCINE INJECTION, POWDER, FOR SUSPENSION PARENTERAL 1350 [PFU]/0.5mL	1704
ANTITHYMOCYTE IMMUNOGLOBULIN INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 25 mg	2371
VALPROATE SODIUM SYRUP ORAL 200 mg/5mL 300 mL	6170
VANDETANIB TABLET ORAL 300 mg	19696
TOBRAMYCIN (AS SULFATE) INJECTION PARENTERAL 50 mg/1mL 2 mL	13022
EVOLOCUMAB INJECTION PARENTERAL 140 mg/1mL 1 mL	50701
SACUBITRIL / VALSARTAN TABLET ORAL 24 mg/26 mg	50702
REGORAFENIB TABLET ORAL 40 mg	23161
MYCOPHENOLATE MOFETIL POWDER, FOR SUSPENSION ORAL 1 g/5mL 110 g	50710
TOFACITINIB (AS CITRATE) TABLET ORAL 5 mg	50711
PALBOCICLIB CAPSULE ORAL 125 mg	50712
TIGECYCLINE INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 50 mg	23169
CRIZOTINIB CAPSULE ORAL 250 mg	24452
PANITUMUMAB INJECTION, SOLUTION, CONCENTRATE PARENTERAL 20 mg/1mL 5 mL	12540
PANITUMUMAB INJECTION, SOLUTION, CONCENTRATE PARENTERAL 20 mg/1mL 10 mL	50716
PANITUMUMAB INJECTION, SOLUTION, CONCENTRATE PARENTERAL 20 mg/1mL 20 mL	12541
CARFILZOMIB INJECTION, POWDER, FOR SOLUTION PARENTERAL 60 mg	22315
PEMBROLIZUMAB INJECTION, SOLUTION PARENTERAL 25 mg/1mL 4 mL	25268
CORIFOLLITROPIN ALFA INJECTION, SOLUTION PARENTERAL 300 ug/1mL 0.5 mL	50720
ENZALUTAMIDE CAPSULE, LIQUID FILLED ORAL 40 mg	22558
POSACONAZOLE SUSPENSION ORAL 40 mg/1mL 105 mL	50722
ABIRATERONE ACETATE TABLET ORAL 250 mg	19011
PIRFENIDONE CAPSULE ORAL 267 mg	50751
PROSTAGLANDIN E1 (ALPROSTADIL) STICK URETHRAL 1000 ug	8040
DASATINIB TABLET ORAL 70 mg	8613
PAZOPANIB (AS HYDROCHLORIDE) TABLET ORAL 200 mg	22858
LENVATINIB (AS MESILATE) CAPSULE ORAL 10 mg	50758
ANAKINRA INJECTION, SOLUTION PARENTERAL 150 mg/1 mL 0.67 mL	18006
IVERMECTIN TABLET ORAL 3 mg	5962
IBRUTINIB CAPSULE ORAL 140 mg	50769
VALGANCICLOVIR (AS HYDROCHLORIDE) POWDER, FOR SOLUTION ORAL 50 mg/1mL 12 g	50776
CROMOLYN SODIUM INHALANT RESPIRATORY 1 mg/1{dose} 120 {dose}	1449
TRIFLURIDINE SOLUTION, DROPS OPHTHALMIC 1 % 5 mL	1257
METHYLENE BLUE INJECTION PARENTERAL 10 mg/1mL 10 mL	1589
SODIUM NITRITE INJECTION PARENTERAL 30 mg/1mL	1679
FOLLITROPIN BETA INJECTION, SOLUTION PARENTERAL 833 [iU]/1mL 0.36 mL	50821
FOLLITROPIN BETA INJECTION, SOLUTION PARENTERAL 833 [iU]/1mL 0.72 mL	50822
FOLLITROPIN BETA INJECTION, SOLUTION PARENTERAL 833 [iU]/1mL 1.08 mL	50823
SOMATROPIN INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 12 [iU]	1981
MEDROXYPROGESTERONE ACETATE INJECTION, SUSPENSION PARENTERAL 150 mg/1mL 1 mL	791
VALPROATE SODIUM INJECTION PARENTERAL 100 mg/1mL 4 mL	52223
VALPROATE SODIUM INJECTION PARENTERAL 100 mg/1mL 5 mL	17568
ERIBULIN (AS MESYLATE) INJECTION, SOLUTION PARENTERAL 0.44 mg/1mL 2 mL	20943
METOLAZONE TABLET ORAL 5 mg	8667
DEFLAZACORT TABLET ORAL 6 mg	6078
IRINOTECAN HYDROCHLORIDE INJECTION, SOLUTION, CONCENTRATE PARENTERAL 20 mg/1mL 15 mL	18556
AZACITIDINE INJECTION, POWDER, LYOPHILIZED PARENTERAL 100 mg	9486
C1-ESTRASE INHIBITOR INJECTION, POWDER, FOR SOLUTION PARENTERAL 500 [iU]	50837
GADOTERATE MEGLUMINE INJECTION PARENTERAL 376.9 mg/1mL 10 mL	4538
GADOTERATE MEGLUMINE INJECTION PARENTERAL 376.9 mg/1mL 20 mL	5599
BRENTUXIMAB VEDOTIN INJECTION, POWDER, FOR SOLUTION PARENTERAL 50 mg	50841
SOMATROPIN INJECTION, SOLUTION PARENTERAL 30 [iU]/2.7mL	24054
AMINO ACID 10% (1) INJECTION, SOLUTION INTRAVENOUS 5 g/7.4 g/9.31 g/4.3 g/5.1 g/4.4 g/2 g/6.2 g/12 g/3 g/14 g/11 g/11.2 g/6.5 g/0.4 g/1 g/1000mL 1000 mL	50864
AMINO ACID 5% (2) INJECTION, SOLUTION INTRAVENOUS 2.5 mg/3.7 mg/4.655 mg/2.15 mg/2.55 mg/2.2 mg/1 mg/3.1 mg/6 mg/1.5 mg/7 mg/5.5 mg/5.6 mg/3.25 mg/0.2 mg/0.5 mg/1mL 500 mL	50865
AMINO ACID 5% (2) INJECTION, SOLUTION INTRAVENOUS 2.5 mg/3.7 mg/4.655 mg/2.15 mg/2.55 mg/2.2 mg/1 mg/3.1 mg/6 mg/1.5 mg/7 mg/5.5 mg/5.6 mg/3.25 mg/0.2 mg/0.5 mg/1mL 1000 mL	50866
AFLIBERCEPT INJECTION, SOLUTION, CONCENTRATE PARENTERAL 25 mg/1mL 4 mL	22456
IBANDRONIC ACID TABLET ORAL 150 mg	7475
BUPIVACAINE HYDROCHLORIDE INJECTION PARENTERAL 0.25 % 20 mL	181
TESTOSTERONE ENANTHATE INJECTION PARENTERAL 250 mg/1mL 1 mL	50872
TOBRAMYCIN (AS SULFATE) INJECTION PARENTERAL 40 mg/1mL 2 mL	1229
LAPATINIB DITOSYLATE TABLET ORAL 250 mg	12299
VEMURAFENIB TABLET ORAL 240 mg	23538
TOPOTECAN (AS HYDROCHLORIDE) INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 4 mg	6507
RAMUCIRUMAB INJECTION, SOLUTION, CONCENTRATE PARENTERAL 10 mg/1mL 10 mL	22854
RAMUCIRUMAB INJECTION, SOLUTION, CONCENTRATE PARENTERAL 10 mg/1mL 50 mL	24006
TRASTUZUMAB EMTANSINE INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 160 mg	50882
NIVOLUMAB INJECTION, SOLUTION, CONCENTRATE PARENTERAL 10 mg/1mL 10 mL	50884
FULVESTRANT INJECTION, SOLUTION PARENTERAL 50 mg/1mL 5 mL	8390
DASATINIB TABLET ORAL 50 mg	50886
SODIUM PHENYLBUTYRATE INJECTION PARENTERAL 200 mg/1mL 10 mL	6369
SODIUM BENZOATE TABLET ORAL 500 mg	2248
SODIUM BENZOATE INJECTION PARENTERAL 200 mg/1mL 10 mL	1934
SODIUM PHENYLBUTYRATE TABLET ORAL 500 mg	6403
LENVATINIB (AS MESILATE) CAPSULE ORAL 4 mg	50891
PERTUZUMAB INJECTION, SOLUTION, CONCENTRATE PARENTERAL 30 mg/1mL 14 mL	23986
IMMUNE GLOBULIN INJECTION INTRAVENOUS 50 mg/1mL 200 mL	50893
IMMUNE GLOBULIN INJECTION INTRAVENOUS 50 mg/1mL 20 mL	50894
DECITABINE INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 50 mg	18505
CILOSTAZOL TABLET ORAL 50 mg	7516
LEFLUNOMIDE TABLET ORAL 20 mg	5974
CILOSTAZOL TABLET ORAL 100 mg	6453
TOCILIZUMAB INJECTION, SOLUTION, CONCENTRATE PARENTERAL 20 mg/1mL 4 mL	16254
TOCILIZUMAB INJECTION, SOLUTION, CONCENTRATE PARENTERAL 20 mg/1mL 10 mL	50908
TOCILIZUMAB INJECTION, SOLUTION, CONCENTRATE PARENTERAL 20 mg/1mL 20 mL	15157
OSIMERTINIB (AS MESYLATE) TABLET ORAL 40 mg	50910
OSIMERTINIB (AS MESYLATE) TABLET ORAL 80 mg	50911
RUXOLITINIB (AS PHOSPHATE) TABLET ORAL 5 mg	23448
RUXOLITINIB (AS PHOSPHATE) TABLET ORAL 10 mg	50913
RUXOLITINIB (AS PHOSPHATE) TABLET ORAL 15 mg	50914
RUXOLITINIB (AS PHOSPHATE) TABLET ORAL 20 mg	24616
FLUOROURACIL CREAM TOPICAL 5 % 20 g	549
ULIPRISTAL ACETATE TABLET ORAL 5 mg	24303
ENTECAVIR TABLET ORAL 1 mg	12741
DORNASE ALFA (DESOXYRIBONUCLEASE) SOLUTION RESPIRATORY 1 mg/1mL 2.5 mL	8081
RABIES IMMUNE GLOBULIN (HUMAN) INJECTION PARENTERAL 150 [iU]/1mL 5 mL	50927
HYDROXYPROGESTERONE CAPROATE INJECTION PARENTERAL 250 mg/1mL 2 mL	11441
BUDESONIDE / FORMOTEROL FUMARATE POWDER, METERED RESPIRATORY 320 ug/9 ug/1{dose} 120 {dose}	50929
LIDOCAINE HYDROCHLORIDE INJECTION PARENTERAL 2 % 5 mL	753
LABETALOL HYDROCHLORIDE INJECTION PARENTERAL 5 mg/1mL 20 mL	8004
PROSTAGLANDIN E1 (ALPROSTADIL) STICK URETHRAL 500 ug	8681
PENTOSAN POLYSULFATE SODIUM TABLET ORAL 25 mg	23065
IOHEXOL INJECTION PARENTERAL 240 mg/1mL 20 mL	698
IOHEXOL INJECTION PARENTERAL 240 mg/1mL 50 mL	699
IOHEXOL INJECTION PARENTERAL 240 mg/1mL 100 mL	1950
IOPROMIDE INJECTION PARENTERAL 240 mg/1mL 50 mL	2144
IOPROMIDE INJECTION PARENTERAL 240 mg/1mL 100 mL	50943
IOHEXOL INJECTION PARENTERAL 300 mg/1mL 20 mL	701
IOHEXOL INJECTION PARENTERAL 300 mg/1mL 50 mL	2059
IOHEXOL INJECTION PARENTERAL 300 mg/1mL 100 mL	2060
IOHEXOL INJECTION PARENTERAL 350 mg/1mL 50 mL	2062
IOHEXOL INJECTION PARENTERAL 350 mg/1mL 100 mL	2063
IOHEXOL INJECTION PARENTERAL 350 mg/1mL 200 mL	2064
SODIUM CHLORIDE INJECTION, SOLUTION PARENTERAL 0.45 % 500 mL	2186
ALBUMIN (HUMAN) INJECTION, SOLUTION PARENTERAL 20 % 10 mL	50953
ALBUMIN (HUMAN) INJECTION, SOLUTION PARENTERAL 20 % 250 mL	50954
ALBUMIN (HUMAN) INJECTION, SOLUTION PARENTERAL 20 % 500 mL	50955
AMIODARONE HYDROCHLORIDE INJECTION PARENTERAL 1.5 mg/100mL	50961
IODIXANOL INJECTION PARENTERAL 270 mg/1mL 50 mL	4757
IODIXANOL INJECTION PARENTERAL 320 mg/1mL 50 mL	2517
AMYL NITRITE INHALANT RESPIRATORY 0.3 mL 0.3 mL	1388
ANTI-D IMMUNOGLOBULIN INJECTION INTRAVENOUS 50 ug/1mL 2 mL	2370
GEFITINIB TABLET ORAL 250 mg	8108
DEXTROSE INJECTION, SOLUTION INTRAVENOUS 20 % 50 mL	15951
TRASTUZUMAB EMTANSINE INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 100 mg	50986
PAZOPANIB (AS HYDROCHLORIDE) TABLET ORAL 400 mg	24484
IPILIMUMAB INJECTION, SOLUTION, CONCENTRATE PARENTERAL 5 mg/1mL 10 mL	23984
IPILIMUMAB INJECTION, SOLUTION, CONCENTRATE PARENTERAL 5 mg/1mL 40 mL	21572
TRABECTEDIN INJECTION, POWDER, FOR SOLUTION PARENTERAL 1 mg	13935
ISONIAZID / PYRAZINAMIDE / RIFAMPICIN TABLET ORAL 50 mg/300 mg/120 mg	50992
RISPERIDONE INJECTION, POWDER, FOR SUSPENSION, EXTENDED RELEASE PARENTERAL 50 mg	50996
EPHEDRINE HYDROCHLORIDE TABLET ORAL 20 mg	487
ELTROMBOPAG (AS OLAMINE) TABLET ORAL 25 mg	51000
ELTROMBOPAG (AS OLAMINE) TABLET ORAL 50 mg	51001
AMINO ACID 10% (2) INJECTION, SOLUTION INTRAVENOUS 5 mg/8.9 mg/5.74 mg/3.12 mg/4.4 mg/4.7 mg/4.2 mg/1.6 mg/6.2 mg/11.5 mg/3 mg/10.5 mg/12 mg/5.6 mg/7.2 mg/5.5 mg/2.3 mg/0.4 mg/1mL 250 mL	14115
SACUBITRIL / VALSARTAN TABLET ORAL 49 mg/51 mg	51005
FENTANYL (AS CITRATE) TABLET SUBLINGUAL 100 ug	51007
FACTOR VIII / VON WILLEBRAND FACTOR INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 500 [iU]/500 [iU]	51012
FENTANYL (AS CITRATE) TABLET SUBLINGUAL 200 ug	51013
FENTANYL (AS CITRATE) TABLET SUBLINGUAL 300 ug	51014
AMINO ACID 5% WITH ELECTROLYTE INJECTION, SOLUTION INTRAVENOUS 2.5 mg/4.45 mg/4.28 mg/2.2 mg/2.35 mg/2.1 mg/0.8 mg/3.1 mg/5.75 mg/1.5 mg/5.25 mg/6 mg/2.8 mg/3.6 mg/2.75 mg/1.15 mg/0.4 mg/1.361 mg/0.964 mg/0.14 mg/2.453 mg/0.508 mg/3.581 mg/1mL 500 mL	19926
SODIUM CHLORIDE INJECTION, SOLUTION PARENTERAL 0.9 % 1000 mL	1141
SODIUM CHLORIDE INJECTION, SOLUTION PARENTERAL 0.9 % 500 mL	1144
SODIUM CHLORIDE SOLUTION IRRIGATION 0.9 % 500 mL	1145
SODIUM CHLORIDE SOLUTION IRRIGATION 0.9 % 1000 mL	1142
SODIUM CHLORIDE INJECTION, SOLUTION PARENTERAL 0.45 % 250 mL	6836
RIBAVIRIN TABLET ORAL 200 mg	1881
PEGINTERFERON ALFA-2A INJECTION PARENTERAL 270 ug/1mL 0.5 mL	51023
PEGINTERFERON ALFA-2A INJECTION PARENTERAL 180 ug/1mL 0.5 mL	2750
TRIENTINE DIHYDROCHLORIDE CAPSULE ORAL 300 mg	6435
BOTULINUM A TOXIN INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 200 [iU]	24400
PATENT BLUE V INJECTION PARENTERAL 25 mg/1mL 2 mL	955
RITUXIMAB INJECTION PARENTERAL 10 mg/1mL 50 mL	2474
AMINO ACID / LIPID / GLUCOSE (1-2) INJECTION, EMULSION INTRAVENOUS 2.26 mg/3.01 mg/2.73 mg/1.88 mg/1.74 mg/2.5 mg/2.59 mg/1.62 mg/4.66 mg/1.58 mg/1.44 mg/3.37 mg/3.26 mg/2.88 mg/3.37 mg/0.54 mg/132 mg/0.781 mg/0.402 mg/0.222 mg/1.872 mg/2.747 mg/0.686 mg/0.47 mg/5.264 ug/20 mg/20 mg/1mL 1250 mL	51054
AMINO ACID / LIPID / GLUCOSE (1-2) INJECTION, EMULSION INTRAVENOUS 2.26 mg/3.01 mg/2.73 mg/1.88 mg/1.74 mg/2.5 mg/2.59 mg/1.62 mg/4.66 mg/1.58 mg/1.44 mg/3.37 mg/3.26 mg/2.88 mg/3.37 mg/0.54 mg/132 mg/0.781 mg/0.402 mg/0.222 mg/1.872 mg/2.747 mg/0.686 mg/0.47 mg/5.264 ug/20 mg/20 mg/1mL 1875 mL	51055
AMINO ACID / LIPID / GLUCOSE (1-2) INJECTION, EMULSION INTRAVENOUS 2.26 mg/3.01 mg/2.73 mg/1.88 mg/1.74 mg/2.5 mg/2.59 mg/1.62 mg/4.66 mg/1.58 mg/1.44 mg/3.37 mg/3.26 mg/2.88 mg/3.37 mg/0.54 mg/132 mg/0.781 mg/0.402 mg/0.222 mg/1.872 mg/2.747 mg/0.686 mg/0.47 mg/5.264 ug/20 mg/20 mg/1mL 2500 mL	19614
ALEMTUZUMAB INJECTION, SOLUTION, CONCENTRATE INTRAVENOUS 10 mg/1mL 1.2 mL	51060
AMINO ACID / LIPID / GLUCOSE (3-2) INJECTION, EMULSION INTRAVENOUS 1.87 mg/2.5 mg/2.27 mg/1.57 mg/1.46 mg/2.08 mg/2.16 mg/1.35 mg/3.88 mg/1.32 mg/1.2 mg/2.8 mg/2.72 mg/2.4 mg/2.81 mg/0.46 mg/70.4 mg/0.64 mg/0.865 mg/0.435 mg/0.936 mg/2.354 mg/0.515 mg/0.353 mg/5.3 ug/20 mg/20 mg/1mL 1250 mL	51061
AMINO ACID / LIPID / GLUCOSE (3-2) INJECTION, EMULSION INTRAVENOUS 1.87 mg/2.5 mg/2.27 mg/1.57 mg/1.46 mg/2.08 mg/2.16 mg/1.35 mg/3.88 mg/1.32 mg/1.2 mg/2.8 mg/2.72 mg/2.4 mg/2.81 mg/0.46 mg/70.4 mg/0.64 mg/0.865 mg/0.435 mg/0.936 mg/2.354 mg/0.515 mg/0.353 mg/5.3 ug/20 mg/20 mg/1mL 1875 mL	51062
AMINO ACID / LIPID / GLUCOSE (3-2) INJECTION, EMULSION INTRAVENOUS 1.87 mg/2.5 mg/2.27 mg/1.57 mg/1.46 mg/2.08 mg/2.16 mg/1.35 mg/3.88 mg/1.32 mg/1.2 mg/2.8 mg/2.72 mg/2.4 mg/2.81 mg/0.46 mg/70.4 mg/0.64 mg/0.865 mg/0.435 mg/0.936 mg/2.354 mg/0.515 mg/0.353 mg/5.3 ug/20 mg/20 mg/1mL 2500 mL	51063
AMINO ACID / LIPID / GLUCOSE (2-2) INJECTION, EMULSION INTRAVENOUS 3.28 mg/4.38 mg/3.98 mg/2.74 mg/2.54 mg/3.6 mg/3.78 mg/2.37 mg/6.79 mg/2.31 mg/2.1 mg/4.91 mg/4.76 mg/4.2 mg/4.92 mg/0.8 mg/158.4 mg/1.171 mg/0.378 mg/0.25 mg/2.496 mg/3.689 mg/0.91 mg/0.623 mg/7.02 ug/20 mg/20 mg/1mL 625 mL	51064
AMINO ACID / LIPID / GLUCOSE (2-2) INJECTION, EMULSION INTRAVENOUS 3.28 mg/4.38 mg/3.98 mg/2.74 mg/2.54 mg/3.6 mg/3.78 mg/2.37 mg/6.79 mg/2.31 mg/2.1 mg/4.91 mg/4.76 mg/4.2 mg/4.92 mg/0.8 mg/158.4 mg/1.171 mg/0.378 mg/0.25 mg/2.496 mg/3.689 mg/0.91 mg/0.623 mg/7.02 ug/20 mg/20 mg/1mL 1250 mL	51065
AMINO ACID / LIPID / GLUCOSE (2-2) INJECTION, EMULSION INTRAVENOUS 3.28 mg/4.38 mg/3.98 mg/2.74 mg/2.54 mg/3.6 mg/3.78 mg/2.37 mg/6.79 mg/2.31 mg/2.1 mg/4.91 mg/4.76 mg/4.2 mg/4.92 mg/0.8 mg/158.4 mg/1.171 mg/0.378 mg/0.25 mg/2.496 mg/3.689 mg/0.91 mg/0.623 mg/7.02 ug/20 mg/20 mg/1mL 1875 mL	51066
DEXTROSE INJECTION, SOLUTION INTRAVENOUS 5 % 500 mL	5746
DEXTROSE INJECTION, SOLUTION INTRAVENOUS 5 % 250 mL	6425
APROTININ INJECTION PARENTERAL 20000000 [iU]/1mL	1394
ARTESUNATE TABLET ORAL 200 mg	51072
ARTESUNATE SUPPOSITORY RECTAL 200 mg	51073
ARTESUNATE INJECTION PARENTERAL 60 mg/1mL	51074
ISOTRETINOIN CAPSULE, LIQUID FILLED ORAL 16 mg	20711
EPINEPHRINE INJECTION, SOLUTION PARENTERAL 0.5 mg/1mL 0.3 mL	51121
FLUTICASONE PROPIONATE SPRAY NASAL 50 ug/1{Puff} 200 {Puff}	17124
BORTEZOMIB INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 1 mg	51127
POLYMYXIN B / NEOMYCIN SULFATE / HYDROCORTISONE SUSPENSION, DROPS AURICULAR (OTIC) 10000 [iU]/5 mg/10 mg/1mL 5 mL	51129
IFOSFAMIDE INJECTION, SOLUTION PARENTERAL 40 mg/1mL 25 mL	51136
TOBRAMYCIN SOLUTION RESPIRATORY 75 mg/1mL 4 mL	16775
VALPROATE SODIUM SYRUP ORAL 200 mg/5mL 120 mL	7669
LOPINAVIR / RITONAVIR TABLET ORAL 200 mg/50 mg	11156
EFAVIRENZ SOLUTION ORAL 150 mg/5mL 180 mL	11647
ATAZANAVIR (AS SULFATE) CAPSULE ORAL 150 mg	12118
ATAZANAVIR (AS SULFATE) CAPSULE ORAL 300 mg	51158
BECLOMETHASONE DIPROPIONATE INHALANT RESPIRATORY 50 ug/1{dose} 200 {Puff}	133
BECLOMETHASONE DIPROPIONATE INHALANT RESPIRATORY 0.4 mg/1mL 2 mL	51170
BIMATOPROST SOLUTION, DROPS OPHTHALMIC 0.01 % 3 mL	8581
BOTULISM ANTITOXIN POLYVALENT A+B+E (EQUINE) INJECTION PARENTERAL 6500 [iU]/1mL 10 mL	51179
BRINZOLAMIDE / TIMOLOL (AS MALEATE) SUSPENSION, DROPS OPHTHALMIC 10 mg/5 mg/1mL 5 mL	17213
BUPIVACAINE / EPINEPHRINE INJECTION PARENTERAL 5 mg/5 ug/1mL	51181
C1-ESTRASE INHIBITOR PLASMA DERIVED INJECTION, POWDER, FOR SOLUTION PARENTERAL 500 [iU]	51182
CABERGOLINE TABLET ORAL 2 mg	8822
CALCIUM FOLINATE INJECTION PARENTERAL 25 mg/1mL	51187
CALCIUM FOLINATE TABLET ORAL 25 mg	739
CALCIUM FOLINATE INJECTION PARENTERAL 3 mg/1mL	737
CALCIUM FOLINATE TABLET ORAL 5 mg	740
CAPECITABINE TABLET ORAL 150 mg	2492
CARGLUMIC ACID TABLET, FOR SUSPENSION ORAL 200 mg	13171
MIRABEGRON TABLET, EXTENDED RELEASE ORAL 50 mg	51204
HYDROXOCOBALAMIN INJECTION, SOLUTION PARENTERAL 1000 ug/1mL	23306
TRANEXAMIC ACID INJECTION PARENTERAL 100 mg/1mL 5 mL	1238
FENTANYL PATCH TOPICAL 100 ug/1h	2545
FENTANYL PATCH TOPICAL 75 ug/1h	2546
SOMATROPIN INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 15 [iU]	51214
SOMATROPIN INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 16 [iU]	20878
CISPLATIN INJECTION, SOLUTION, CONCENTRATE INTRAVENOUS 0.5 mg/1mL 100 mL	302
FIBRINOLYSIN / DESOXYRIBONUCLEASE OINTMENT TOPICAL 1 [iU]/666 [iU]	533
FLUCYTOSINE TABLET ORAL 500 mg	541
FLUDARABINE PHOSPHATE TABLET ORAL 10 mg	51223
DIGOXIN SOLUTION, DROPS ORAL 0.5 mg/1mL	437
SPECTINOMYCIN INJECTION, POWDER, FOR SOLUTION PARENTERAL 2 g	1166
CHARCOAL ACTIVATED SUSPENSION ORAL 200 mg/1mL 250 mL	51252
CHARCOAL ACTIVATED POWDER, FOR SUSPENSION ORAL 50 g	1427
CHLOROQUINE INJECTION PARENTERAL 30 mg/1mL 5 mL	1428
CHLOROQUINE SYRUP ORAL 5 mg/1mL 60 mL	51258
CHLOROQUINE INJECTION PARENTERAL 40 mg/1mL 5 mL	1757
CHLOROQUINE SYRUP ORAL 10 mg/1mL 60 mL	1429
CHLOROQUINE SULFATE INJECTION PARENTERAL 50 mg/1mL 5 mL	1430
CHOLERA VACCINE INACTIVATED SUSPENSION ORAL	51263
CICLOSPORIN SOLUTION, DROPS OPHTHALMIC 0.05 % 10 mL	6815
CICLOSPORIN SOLUTION OPHTHALMIC 2 %	2424
PENTOSAN POLYSULFATE SODIUM TABLET ORAL 100 mg	51281
LIPID INFUSION 20% (1) INJECTION, SOLUTION PARENTERAL 100 mg/100 mg/1mL 500 mL	51286
FENTANYL (AS CITRATE) INJECTION PARENTERAL 50 ug/1mL 2 mL	7830
EDETATE DICOBALT INJECTION PARENTERAL 15 mg/1mL 20 mL	1486
EMTRICITABINE / TENOFOVIR DISOPROXIL FUMARATE / ELVITEGRAVIR / COBICISTAT TABLET ORAL 200 mg/300 mg/150 mg/150 mg	24355
CONJUGATED ESTROGENS INJECTION PARENTERAL 5 mg/1mL 5 mL	355
ERGOTAMINE TARTRATE TABLET ORAL 2 mg	51310
DEXTROSE / SODIUM CHLORIDE INJECTION, SOLUTION INTRAVENOUS 5 %/0.9 % 500 mL	393
DEXTROSE / SODIUM CHLORIDE INJECTION, SOLUTION INTRAVENOUS 5 %/0.9 % 250 mL	2040
ETHIODIZED OIL INJECTION PARENTERAL 480 mg/1mL 10 mL	1499
GANCICLOVIR GEL OPHTHALMIC 0.15 % 5 g	51331
